Herd,Location,Source,Year,Population,SE,Subspecies,Ecotype,Latitude,Longitude,NAO,PDO,AO,AMO,ENSO,Wolves?,Predators,Biome (S/W),Semi-Domestic?,Note,Harvest,Annual Precip (?),Temps (?),Max Range Size (km^2)
Southampton Is.,Southampton Is.,https://carma.caff.is/index.php/herds/538-carma/herds/622-southampton-island,1968,48,NA,R. t. groenlandicus,Insular,64.36,-87.74,-2.97,,-0.568,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1969,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,-2.58,,-0.828,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1970,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,-1.08,,-0.344,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1971,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,-0.08,,0.006,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1972,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,2.05,,0.052,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1973,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,0.27,,0.241,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1974,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,2.18,,-0.203,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1975,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,0.01,,0.434,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1976,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,0.59,,-0.031,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,,1977,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,-2.08,,-0.432,,,0,0,Tundra/Tundra,0,,0,,,
Southampton Is.,Southampton Is.,https://www.nwmb.com/en/public-hearings-a-meetings/public-hearings-1/2014/public-hearing-concerning-the-government-of-nunavuts-proposal-to-lower-the-total-allowable-harvest-of-southampton-island-caribou-from-1000-to-800-caribou-and-to-consider-non-quota-limitations/proposal-for-nwmb-decision-and-supporting-evidence/3454-population-estimate-of-a-declining-population-of-island-bound-barren-ground-caribou-rangifer-tarandus-groenlandicus-southampton-island-nunavut-eng/file,1978,1200,NA,R. t. groenlandicus,Insular,64.36,-87.74,-0.42,,-0.15,,,0,0,Tundra/Tundra,0,,25,,,
Southampton Is.,Southampton Is.,,1979,NA,NA,R. t. groenlandicus,Insular,64.36,-87.74,-0.23,,-0.365,,,0,0,Tundra/Tundra,0,,50,,,
